amt_sum,amt_max,amt_min,amt_ptp,amt_mean,amt_std
0.0,0.0,0.0,0.0,0.0,0.0
16501650.0,5500000.0,550.0,5499450.0,2750275.0,3012172.818871786
0.0,0.0,0.0,0.0,0.0,0.0
456045600.0,64000000.0,3800.0,63996200.0,25335866.666666668,27187464.37528971
16119631945.02,3079929000.0,50.0,3079928950.0,154996461.0098077,396450636.45808405
45474547.0,29600000.0,1587.0,29598413.0,11368636.75,14271572.035184337
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
25002500.0,25000000.0,2500.0,24997500.0,12501250.0,17675901.76271072
24752475.0,24750000.0,2475.0,24747525.0,12376237.5,17499142.745083615
70007000.0,70000000.0,7000.0,69993000.0,35003500.0,49492524.93559002
74520020.0,16797320.0,30000.0,16767320.0,1552500.4166666667,3254615.7295113658
20176017.4,20174000.0,2017.4,20171982.6,10088008.7,14263745.686437044
0.0,0.0,0.0,0.0,0.0,0.0
1050000.0,400000.0,50000.0,350000.0,116666.66666666667,134629.1201783626
46848684.4,36844000.0,500.0,36843500.0,7808114.066666666,14433852.419962842
135483547.0,27060000.0,1633.0,27058367.0,11290295.583333334,12047744.560532914
0.0,0.0,0.0,0.0,0.0,0.0
36678267.46,8699200.0,278.59,8698921.41,3667826.7460000003,4223670.050035615
139939700.0,8472000.0,10000.0,8462000.0,1473049.4736842106,1914931.5038510407
600060000.0,200000000.0,20000.0,199980000.0,100010000.0,109533557.04988311
0.0,0.0,0.0,0.0,0.0,0.0
105650564.0,105640000.0,10564.0,105629436.0,52825282.0,74691290.48851043
6000600.0,3000000.0,300.0,2999700.0,1500150.0,1731877.6024881203
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
839740565.6600001,280000000.0,1000.0,279999000.0,69978380.47166668,111917037.7109943
5328632400.0,5324000000.0,532400.0,5323467600.0,888105400.0,2173135682.114433
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3979537914.0,993630000.0,26.0,993629974.0,49744223.925,142228412.78431055
1500150.0,500000.0,50.0,499950.0,250025.0,273833.8926247078
789078900.0,789000000.0,78900.0,788921100.0,394539450.0,557851459.6311504
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
204110409.0,171690000.0,3240.0,171686760.0,51027602.25,81877859.52204527
0.0,0.0,0.0,0.0,0.0,0.0
2100210.0,700000.0,70.0,699930.0,350035.0,383367.4496745909
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
167896788.0,117880000.0,5000.0,117875000.0,41974197.0,55822222.90085347
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
